,longitud,latitud,precio,Condición del ítem,Línea telefónica,Aire acondicionado,Dormitorios,Superficie cubierta,Baños,Ambientes,Superficie total,Inmueble
MLA1130578098,-58.457867,-34.61696,43500,Usado,No,No,1,39 ,1,2,42 ,Departamento
MLA1130495400,-58.461285,-34.54327,60000,Usado,,Sí,1,32 ,1,2,34 ,Departamento
MLA1130879219,-58.44402,-34.61069,45000,Usado,,,1,45 ,1,2,50 ,Departamento
MLA1130467824,-58.499332,-34.581936,80000,Usado,,Sí,2,56 ,1,3,82 ,Departamento
MLA1131203138,-58.376312,-34.599953,120000,Usado,No,No,3,117 ,2,4,117 ,Departamento
MLA1130678452,-58.435345,-34.62022,60000,Usado,,,1,49 ,1,2,47 ,Departamento
MLA1131284539,-58.46353,-34.627647,120000,Usado,Sí,Sí,3,150 ,2,4,159 ,Departamento
MLA1131053279,-58.431408,-34.60138,80000,Usado,No,No,3,96 ,2,4,96 ,Departamento
MLA1131469805,-58.436577,-34.57349,80000,Usado,,,2,46 ,1,3,55 ,Departamento
MLA1131011236,-58.489265,-34.57609,69000,,,,1,48 ,1,2,98 ,Departamento
MLA1131399340,-58.447475,-34.55724,2700,Usado,,No,2,171 ,2,5,185 ,Departamento
MLA1131061516,-58.421986,-34.60733,85000,Usado,No,Sí,1,45 ,1,2,48 ,Departamento
MLA1130637339,-58.363827,-34.60457,2500,Usado,,Sí,1,98 ,2,2,107 ,Departamento
MLA1130897004,-58.374615,-34.59547,4800,Nuevo,No,No,5,450 ,6,7,0 ,Departamento
MLA1131139668,-58.387486,-34.590942,650,Usado,,No,2,85 ,2,3,91 ,Departamento
MLA1131287180,-58.397278,-34.587383,200000,Usado,Sí,No,3,149 ,3,4,160 ,Departamento
MLA1131172523,-58.360973,-34.612335,2800,Usado,No,Sí,2,168 ,3,3,168 ,Departamento
MLA1131202332,-58.378418,-34.626762,38000,Usado,,,1,55 ,1,2,55 ,Departamento
MLA1130921257,-58.361053,-34.611156,2150,Usado,No,Sí,2,135 ,2,3,135 ,Departamento
MLA1131385153,-58.459766,-34.603615,50000,Nuevo,No,No,1,43 ,1,2,45 ,Departamento
MLA1131094018,-58.401554,-34.575657,10000,Nuevo,No,No,4,0 ,4,5,450 ,Departamento
MLA1130921309,-58.361286,-34.609974,3200,Nuevo,No,Sí,4,170 ,4,3,170 ,Departamento
MLA1131082288,-58.375977,-34.619736,78000,Usado,,,2,60 ,1,3,63 ,Departamento
MLA1131068427,-58.420662,-34.60222,100000,Usado,,Sí,3,85 ,1,4,90 ,Departamento
MLA1131211902,-58.401463,-34.611214,40000,,,,1,42 ,1,2,42 ,Departamento
MLA1130632431,-58.46465,-34.604237,80000,Usado,,,2,60 ,1,3,65 ,Departamento
MLA1131035865,-58.46282,-34.686096,32900,Usado,,,2,49 ,1,3,49 ,Departamento
MLA1130504090,-58.401047,-34.593693,39500,Usado,,,0,27 ,1,1,27 ,Departamento
MLA1130644078,-58.46465,-34.604237,60000,Usado,,,1,42 ,1,2,45 ,Departamento
MLA1131296140,-58.4518,-34.569992,85000,Usado,,Sí,2,90 ,1,3,95 ,Departamento
MLA1130652075,-58.41662,-34.638893,150000,Usado,Sí,Sí,1,230 ,3,1,270 ,Departamento
MLA1130803074,-58.388214,-34.599934,80000,Usado,,,2,92 ,2,3,92 ,Departamento
MLA1131412995,-58.46276,-34.603947,42000,,,,1,36 ,1,1,36 ,Departamento
MLA1123296980,-58.39073,-34.608482,25000,Usado,,,1,30 ,1,2,30 ,Departamento
MLA1127331378,-58.42175,-34.62124,45000,Usado,No,Sí,0,60 ,1,3,65 ,Departamento
MLA1125440762,-58.45772,-34.632565,39000,,,,1,20 ,1,1,20 ,Departamento
